row.ID,row.m.z,row.retention.time,X20240730_Ext_E31_24h_ddms30.mzML.Peak.area,X20240730_Ext_E31_MGO_24h_ddms30.mzML.Peak.area,Peakgroup_id,NonMGO.peak.area,MGO.peak.area,Peak_Area_Change,Label
3605,307.6464292,8.358824,33312.266,0,187,33312.266,0,33312.266,S
5052,308.2218829,13.300808,49247.184,0,188,335319.58400000003,32277.533,303042.05100000004,S
3524,308.2219326,7.952175,286072.4,32277.533,188,335319.58400000003,32277.533,303042.05100000004,S
619,308.9310965,1.0878067,0,2079682.6,189,0,2079682.6,2079682.6,P
3227,309.0965145,6.4370556,72035.27,0,190,151354.05,0,151354.05,S
3108,309.0965707,5.8339906,79318.78,0,190,151354.05,0,151354.05,S
4252,309.2058007,10.34885,410166.12,43009.496,191,774783.48,76583.4706,698200.0094,S
3909,309.20585,9.287676,286087.94,25881.979,191,774783.48,76583.4706,698200.0094,S
3332,309.2061479,6.8006225,78529.42,7691.9956,191,774783.48,76583.4706,698200.0094,S
5682,309.2421698,16.61728,55834.86,8423.789,192,100529.883,8423.789,92106.094,S
5704,309.2421929,16.745813,44695.023,0,192,100529.883,8423.789,92106.094,S
5455,312.3622177,15.683543,0,357608.62,193,0,357608.62,357608.62,P
4399,313.2005393,10.689031,57553.527,0,194,57553.527,0,57553.527,S
4504,313.2370318,11.046341,58319.19,0,195,286498.33,22614.297,263884.033,S
4615,313.2370555,11.234113,228179.14,22614.297,195,286498.33,22614.297,263884.033,S
4669,315.0862439,11.492101,101633.93,18834.547,196,270445.15,18834.547,251610.60300000003,S
3377,315.0863798,7.0908337,168811.22,0,196,270445.15,18834.547,251610.60300000003,S
5554,315.1741311,16.031895,140715.38,40670.34,197,140715.38,40670.34,100045.04000000001,S
6061,315.2527936,17.39921,113373.914,110336.61,198,220686.039,110336.61,110349.42899999999,S
4791,315.2529452,11.978353,107312.125,0,198,220686.039,110336.61,110349.42899999999,S
2832,317.0289251,4.98182,389821.34,0,199,389821.34,0,389821.34,S
3138,317.065105,5.9673967,1001733,66799.016,200,1001733,66799.016,934933.9839999999,S
4079,318.2636103,9.841373,88031.41,0,201,88031.41,0,88031.41,S
3940,320.279345,9.434844,63214.656,0,202,63214.656,0,63214.656,S
4899,323.2216267,12.528621,95812.305,0,203,95812.305,0,95812.305,S
5426,324.2895701,15.477652,49058.715,15586.995,204,49058.715,15586.995,33471.719999999994,S
5003,326.2322677,13.049514,69337.11,0,205,69337.11,0,69337.11,S
5269,326.2686855,14.464098,91481.586,11017.313,206,337905.222,35938.792,301966.43,S
5309,326.2687217,14.649517,214957.3,24921.479,206,337905.222,35938.792,301966.43,S
5246,326.2688285,14.390832,31466.336,0,206,337905.222,35938.792,301966.43,S
5163,327.0777904,13.865736,358263.8,343515.16,207,358263.8,343515.16,14748.640000000014,S
2130,327.9936876,3.3578432,63584.54,0,208,63584.54,0,63584.54,S
4838,328.2480884,12.174838,125886.086,0,209,125886.086,0,125886.086,S
571,328.8939193,1.0495238,1404580.5,601481.25,210,1404580.5,601481.25,803099.25,S
125,328.9152255,0.0773453,338358.47,0,211,338358.47,0,338358.47,S
4777,330.2273407,11.906588,39881.125,40018.855,212,39881.125,40018.855,137.7300000000032,P
4655,330.263766,11.363022,125674.11,13372.903,213,125674.11,13372.903,112301.207,S
4726,331.2475594,11.753598,53318.32,0,214,53318.32,0,53318.32,S
4825,332.2793937,12.144996,84884.02,0,215,84884.02,0,84884.02,S
417,332.9329433,0.896644,0,330979.9,216,0,330979.9,330979.9,P
2399,333.0239989,4.074934,196755.52,0,217,196755.52,0,196755.52,S
4685,334.2951717,11.590706,38192.465,0,218,38192.465,0,38192.465,S
5641,335.1511223,16.453724,321929.1,32207.012,219,321929.1,32207.012,289722.088,S
3525,336.1228304,7.952175,42816.555,18300.127,220,42816.555,18300.127,24516.428,S
5372,336.3105324,15.008149,75811.39,52875.062,221,75811.39,52875.062,22936.328,S
6907,338.34115,19.72254,152187.7,121679.98,222,152187.7,121679.98,30507.720000000016,S
4549,339.0916663,11.10828,169710.45,37296.83,223,169710.45,37296.83,132413.62,S
4243,340.2477984,10.345317,71008.01,0,224,71008.01,0,71008.01,S
4042,342.263859,9.742079,57739.297,3740.9639,225,57739.297,3740.9639,53998.333099999996,S
5607,342.299912,16.343948,90860.11,0,226,90860.11,0,90860.11,S
5343,342.336525,14.756832,53929.184,27990.371,227,53929.184,27990.371,25938.813000000002,S
4158,343.2950279,10.0948105,296553,186209.14,228,296553,186209.14,110343.85999999999,S
2659,344.1337734,4.6685877,54424.312,7759.9053,229,54424.312,7759.9053,46664.4067,S
4401,344.2428069,10.689031,159718.42,0,230,159718.42,0,159718.42,S
4656,344.2794958,11.363022,84269.36,7807.347,231,84269.36,7807.347,76462.013,S
3676,346.2586002,8.5591755,306074.75,28318.062,232,585972.62,54976.816000000006,530995.804,S
3625,346.2586467,8.431179,224802.58,26658.754,232,585972.62,54976.816000000006,530995.804,S
3715,346.2587826,8.741433,55095.29,0,232,585972.62,54976.816000000006,530995.804,S
6056,346.2947283,17.398668,0,52983.793,233,0,52983.793,52983.793,P
4059,348.2742106,9.808983,43783.176,4392.3193,234,852243.0059999999,77879.9293,774363.0767,S
